0.412	10.982
5.784	11.915
9.907	12.886
10.748	13.473
12.703	16.025
14.408	18.567
17.421	24.837
21.862	26.613
22.226	30.827
22.144	31.544
29.007	34.238
27.387	36.622
33.112	36.817
33.118	39.336
34.802	40.108
39.197	41.059
38.455	44.750
47.498	56.137
54.118	59.272
54.281	59.856
54.207	61.962
56.508	64.909
64.506	67.392
65.878	70.273
66.575	72.655
68.226	73.508
68.942	74.889
68.142	75.629
72.545	76.547
73.303	76.699
74.758	77.484
76.517	79.435
70.588	79.633
74.053	79.689
77.556	84.548
77.494	84.613
82.749	87.581
85.072	89.028
88.009	89.725
88.597	95.472
102.593	111.945
108.210	113.089
109.733	115.267
113.386	116.475
108.578	117.568
116.934	118.723
124.808	130.968
126.375	133.563
131.438	136.412
134.608	141.057
138.172	143.279
135.641	145.488
144.289	149.076
151.649	159.395
149.638	159.446
155.084	161.388
154.290	162.027
159.646	162.848
154.189	165.032
161.717	166.137
163.991	166.248
161.174	167.783
167.460	169.386
170.667	177.015
172.008	177.590
175.688	178.812
173.659	179.800
179.994	187.488
183.524	189.095
185.447	190.133
182.097	190.148
185.659	191.296
189.132	193.138
185.532	194.289
200.805	209.777
207.331	211.667
203.375	211.909
204.804	213.221
205.337	217.234
218.821	226.327
223.027	228.788
225.243	229.358
231.621	239.573
230.866	241.192
233.681	244.476
242.385	248.894
247.501	252.746
244.849	253.269
246.605	255.501
249.770	258.481
258.784	264.545
258.768	265.337
263.158	266.145
268.065	274.652
274.274	277.617
278.129	284.564
282.861	286.885
284.950	293.740
287.304	295.703
289.056	295.987
288.891	296.534
294.885	297.992
297.934	303.987
299.941	305.501
301.837	306.277
297.297	306.406
303.097	306.971
306.520	308.717
304.311	309.634
309.311	310.875
314.597	321.115
315.154	321.360
312.019	321.638
317.663	322.683
313.851	325.132
313.770	325.533
323.301	329.308
327.877	333.650
332.435	337.089
337.278	344.786
338.120	348.416
343.387	349.807
346.582	350.084
346.878	352.701
346.920	352.972
346.830	353.895
351.766	354.769
350.946	355.055
354.898	357.385
352.097	358.502
356.105	360.103
356.311	361.097
356.807	362.614
358.949	363.590
360.385	363.890
359.475	364.047
363.938	367.913
365.670	372.709
368.615	374.629
366.781	374.855
372.565	376.635
368.683	376.798
372.236	376.838
370.080	378.461
371.641	378.961
379.138	386.253
384.506	387.216
381.847	387.549
381.177	389.076
389.419	397.358
389.359	397.710
389.923	398.048
394.047	398.633
393.548	398.652
389.470	399.167
397.531	401.251
400.770	403.145
403.018	411.632
403.730	412.324
414.339	421.075
418.906	426.218
424.692	427.380
421.705	427.483
420.983	427.942
426.127	432.199
429.685	434.066
428.578	434.135
432.533	435.204
433.719	437.783
432.706	438.529
443.545	453.343
450.544	456.680
449.499	457.034
456.131	457.917
457.193	460.793
465.198	473.085
469.089	477.117
471.482	478.284
470.626	478.289
477.620	479.674
471.457	481.975
477.509	483.559
482.510	485.429
491.868	499.776
